coleemac,603269377495924756,True,milk,True
K THE DOG,400377441971077120,True,lemme smash,True
lemonade,264817386547445760,True,milk,True
Bec,243546049212448768,False,lemme smash,False
Floy,192370343510409216,True,lemme smash,True
Hojobo,78662784245567488,True,lemme smash,True
NotANinja,253605981467049985,False,swingin' hens,False
GaruuSpike,275441989263032320,False,swingin' hens,False
Strud3l,362648573772431360,True,egirl,True
Nexus,685684663171154116,False,lemme smash,False
notlemonade,705190329338298390,False,lemme smash,False
Zetsuki,92496311684702208,False,The Rather Dark Night,False
Androo,78648083449122816,True,lemme smash,True
DismalShip787,194533091602202624,False,swingin' hens,False
Zndu,183374341285609483,False,milk,True
Cthulu,78953526977368064,True,Workshop,True
MaidenPoacher,198439663361327104,False,swingin' hens,False
12,162387774203232256,False,swingin' hens,False
Jaune but Chrimmas,160945313757003777,False,swingin' hens,False
saigonara,154063699089424385,False,swingin' hens,False
Nyet,226519889832050688,True,lemme smash,True
mmmhhmmm,674415195610939402,False,swingin' hens,False
Monkey,196850316812091392,False,lemme smash,True
Marshal Mallow,521849320774041613,False,swingin' hens,False
Bruh,162866608832774144,False,swingin' hens,False
Nezumi,158630682560561152,False,@everyone,False
Airworthy,630863901977739284,True,lemme smash,False
Gauntlet,198933153849540608,False,lemme smash,True
Titan,196696058938654720,False,swingin' hens,False
chetto,291705150064689173,False,egirl,True
juzz mightyear,153296668693889024,False,swingin' hens,False
Donomaxinus,78702161663361024,True,Workshop,True
